phi,mu[1],mu[2],mu[3],mu[4],mu[5],mu[6],mu[7],mu[8],mu[9],mu[10],mu[11],mu[12],mu[13],mu[14],mu[15],mu[16],mu[17],mu[18],mu[19],mu[20]
0.804380238,0.110652182,4.32E-07,0.000741998,0.695015169,7.10E-07,5.73E-11,0.001233244,0.208927689,6.77E-06,0.887731566,2.32E-05,3.10E-09,6.825710807,0.115005715,6.39E-23,3.928345381,7.96E-14,1.5696358,3.299219384,0.124531937
0.837795854,0.078148588,2.17E-13,0.002187423,0.496436065,2.46E-08,1.33E-05,1.18E-07,0.002768659,0.033446235,0.794854802,3.99E-22,5.59E-08,5.522995181,0.088736184,2.66E-19,3.129712819,9.40E-10,1.25951546,3.046550493,0.04044148
0.903505951,0.148855394,6.52E-12,0.009317937,0.611166244,2.74E-11,0.029451487,8.19E-10,0.563744027,0.001240365,0.801688443,5.16E-24,9.94E-12,4.292342715,0.107223723,4.63E-12,2.93758779,1.06E-09,1.708029776,2.817605958,0.017559021
1.148772065,0.09376027,0.045695297,0.000173716,0.655706261,0.051412036,2.77E-08,9.64E-09,6.57E-07,0.001597778,0.972607077,6.12E-18,1.77E-12,4.900643456,0.116573682,5.51E-05,2.996618381,0.000726989,1.790913137,2.584327197,0.034695784
0.979078318,0.114754317,6.55E-09,5.91E-06,0.660734093,2.67E-06,0.006191708,2.66E-10,1.38E-06,0.012954381,0.767568943,3.04E-09,5.12E-08,5.021878488,0.102447659,0.159791064,2.626042005,0.003144563,1.956062435,2.281404045,0.020537951
1.001031806,0.074872888,2.71E-05,0.025098482,0.558930878,1.80E-06,0.028414376,2.63E-05,1.13E-07,4.97E-05,1.019627126,0.031659207,2.10E-05,6.336893441,0.113164553,2.53E-06,5.072672124,6.90E-20,1.406900777,3.520715135,0.170574603
0.860024113,0.097737834,8.11E-08,6.22E-08,0.62442812,7.73E-08,0.001401117,0.009785444,0.848355747,4.29E-06,0.918911934,1.36E-05,1.57E-05,7.789222211,0.099670364,4.01E-28,2.475426537,9.26E-16,2.529100027,2.10509693,0.018625278
0.871036671,0.086507608,5.12E-16,1.00E-07,0.565537947,1.35E-06,0.001748892,0.000382366,0.000718224,9.35E-06,0.749771428,2.04E-15,0.007471799,7.40279333,0.097277667,4.75E-05,4.069853977,2.89E-21,1.706409764,3.622834676,0.033960687
1.188694763,0.096183555,1.71E-16,0.000119821,0.680609468,2.75E-22,0.001970172,0.006161497,0.003005761,0.004336795,1.284709353,9.63E-07,7.29E-08,4.762282736,0.080661938,2.73E-08,2.997483101,6.30E-16,1.681063192,2.189655024,0.092187578
1.166936532,0.110638865,1.12E-22,0.012470676,0.475167882,1.46E-09,0.000998186,0.000158099,0.029858313,0.000602729,0.678620749,2.21E-19,6.78E-05,6.963718895,0.125574525,6.06E-05,4.107718096,1.70E-18,1.604556538,3.098776768,0.043170126
0.826680491,0.105310367,0.000106237,0.00058404,0.731693697,1.87E-05,0.000935648,0.012220878,0.160598356,0.003623273,1.329076278,2.36E-15,8.54E-17,6.76196938,0.085321066,1.57E-05,4.188619214,1.10E-13,1.539693432,2.561389562,0.112539134
0.788677135,0.079106059,1.69E-08,0.026411826,0.679092951,0.000217849,0.002087676,0.000349002,0.013833115,0.00921506,1.318889731,4.07E-06,2.02E-07,6.113215134,0.102125775,1.04E-11,4.412155841,2.69E-18,2.34343508,3.031639904,0.106753418
